Cluster,Size,Density,Internal weight,External weight,Quality,P-value,Members
352,78,0.2698,810.2,1233,0.3684,0.000451125,"P47985 O14949 P14927 Q9P0J0;Q9P0J0-2 P17568 Q9Y6M9 Q16718;Q16718-2 O75489 P19404 Q86Y39;Q86Y39-2 P49821-2;P49821 P28331;P28331-2;P28331-4;P28331-5;P28331-3 O95169-3;O95169;O95169-2 Q9BV79;Q9BV79-2 Q99643 O43678;O43678-2 O95139;O95139-2 Q9UI09 O43920 O95298;E9PQ53;O95298-2;O95298-3 O43181 P21912 P51970 O75380 O43676 Q92506 Q8N4T8;Q8N4T8-2 O95167 P45880;P45880-2 P21796 O75438;O75438-2 Q9P0S9 O00217 O95168;O95168-2 Q99766 P03915 O14521-2;O14521;O14521-4 Q16795 Q9HBL7 O75306;O75306-2 O43674;O43674-2 P03886 O96000;O96000-2 O95182 Q8N2U0 Q9Y3B3;Q86XR7-2;Q9Y3B3-2 P56556 O95299;O95299-2 O75251;O75251-2 Q16134 Q7Z7H5;Q7Z7H5-3 P00846 Q07817-3;Q07817;Q07817-2 Q9NTG7 P00395 O75431;O75431-2 O43772 Q9Y6C9 Q8NCN5 Q8IXI2-3;Q8IXI2-2;Q8IXI2-5;Q8IXI2-7;Q8IXI2 Q9NRZ7;Q9NRZ7-2;Q9NRZ7-3 O43464;O43464-3;O43464-2 P36957 P23786 Q8WUD1;Q8WUD1-2 Q53H12 Q9Y241;Q9Y241-2 P08574 Q9H7Z7 Q9NQE9 Q02978;Q02978-2 Q16595 Q9BUT1;Q9BUT1-2;Q9BUT1-3 Q9HA77 Q9UKU7;Q9UKU7-3;Q9UKU7-2 O00330-3;O00330 Q8TBF2;Q8TBF2-3;Q8TBF2-8;Q8TBF2-4;Q8TBF2-2;Q8TBF2-7;Q8TBF2-5;Q8TBF2-6 Q9Y485"
353,4,0.3366,2.020,39.73,0.04060,0.992931,"P61970 Q9BW83;Q9BW83-2 Q6GMV3 Q8NCW5;Q8NCW5-2"
354,5,0.3136,3.136,34.31,0.06609,0.952654,"Q9H845 O60313-2;O60313 O43169 Q13505-3;Q13505 Q8IXI1"
355,4,0.3616,2.170,10.50,0.1050,0.984809,"Q9NSD9;Q9NSD9-2 P41252 P07814 Q9P2J5;Q9P2J5-2"
356,8,0.3378,9.460,114.3,0.06769,0.998062,"P98175-2;P98175 Q15287 Q9H307;Q9H307-2 Q8IYB3-2;Q8IYB3 Q9Y2W1 Q7Z4V5;Q7Z4V5-3 Q9UKV3;Q9UKV3-3;Q9UKV3-2 Q09161"
357,6,0.3081,4.621,23.72,0.1146,0.885117,"Q96KP1 P50570 Q13131;Q13131-2 Q6P3W7 Q13107-2;Q13107 Q9BZF1;Q9BZF1-3;Q9BZF1-2"
358,6,0.3090,4.636,36.81,0.08673,0.977336,"Q92506 O43464;O43464-3;O43464-2 Q9BUT1;Q9BUT1-2;Q9BUT1-3 Q8NBX0 Q9H3K2 Q14240;Q14240-2"
359,3,0.3362,1.009,9.214,0.06218,0.985452,"Q92544 Q9P2X0-2;Q9P2X0 Q92542-2;Q92542"
360,3,0.3542,1.063,6.228,0.07995,0.985452,"Q8TCJ2 Q9H0U3 O15173;O15173-2"
361,3,0.3453,1.036,9.659,0.06204,0.904785,"Q96PU4;Q96PU4-2 Q08170 Q5VWQ0"
362,3,0.3410,1.023,4.658,0.08758,0.904785,"Q9NYJ1 Q14676;Q14676-2;Q14676-3 Q96P11-2;Q96P11;Q96P11-4;Q96P11-5"
363,4,0.3567,2.140,14.19,0.08796,0.903035,"Q16576;Q16576-2 Q09028-3;Q09028 O43684-2;O43684 Q01105"
364,3,0.3365,1.010,4.555,0.08730,0.808633,"O43396 O14964;O14964-2 Q92783-2;Q92783"
365,5,0.3120,3.120,33.76,0.06654,0.981643,"Q9UMX0;Q9UMX0-2 Q9NRR5 Q08752 P78362;P78362-2 P25685"
